search_range;length_of_pages;download_of_pdf;pdf_pages_extracted;length_of_name_extracted
[2024-06-17]-[2024-06-28];1;1;2;31
[2024-05-01]-[2024-06-16];14;14;28;422
[2024-04-06]-[2024-04-30];19;19;38;570
[2024-03-09]-[2024-04-06];28;28;56;842
[2023-12-05]-[2024-03-08];15;15;30;454
[2023-01-01]-[2023-12-04];335;335;338;9902
[2022-01-01]-[2022-12-31];268;268;268;8121
[2021-01-01]-[2021-12-31];379;379;384;11314
[2018-01-01]-[2020-12-31];294;294;410;16678
[2015-01-01]-[2017-12-31];284;284;331;11785
[2012-01-01]-[2014-12-31];336;336;377;10609
[2011-01-01]-[2013-12-31];372;372;418;12409
[2009-01-01]-[2010-12-31];220;220;250;8354
[2007-01-01]-[2008-12-31];303;303;340;7112
