search_range;description;link_page;link_pdf;name_pdf;published
[2012-01-01]-[2014-12-31];Despacho n.º 12736/2014 - Diário da República n.º 201/2014, Série II de 2014-10-17;https://diariodarepublica.pt/dr/detalhe/despacho/12736-2014-58364421;https://files.diariodarepublica.pt/2s/2014/10/201000000/2642026420.pdf;despacho_12736-2014_dr_201-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 12735/2014 - Diário da República n.º 201/2014, Série II de 2014-10-17;https://diariodarepublica.pt/dr/detalhe/despacho/12735-2014-58364420;https://files.diariodarepublica.pt/2s/2014/10/201000000/2642026420.pdf;despacho_12735-2014_dr_201-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 12672/2014 - Diário da República n.º 200/2014, Série II de 2014-10-16;https://diariodarepublica.pt/dr/detalhe/despacho/12672-2014-58359510;https://files.diariodarepublica.pt/2s/2014/10/200000000/2626326263.pdf;despacho_12672-2014_dr_200-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 12671/2014 - Diário da República n.º 200/2014, Série II de 2014-10-16;https://diariodarepublica.pt/dr/detalhe/despacho/12671-2014-58359509;https://files.diariodarepublica.pt/2s/2014/10/200000000/2626326263.pdf;despacho_12671-2014_dr_200-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 12670/2014 - Diário da República n.º 200/2014, Série II de 2014-10-16;https://diariodarepublica.pt/dr/detalhe/despacho/12670-2014-58359508;https://files.diariodarepublica.pt/2s/2014/10/200000000/2626326263.pdf;despacho_12670-2014_dr_200-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 12669/2014 - Diário da República n.º 200/2014, Série II de 2014-10-16;https://diariodarepublica.pt/dr/detalhe/despacho/12669-2014-58359507;https://files.diariodarepublica.pt/2s/2014/10/200000000/2626326263.pdf;despacho_12669-2014_dr_200-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 12668/2014 - Diário da República n.º 200/2014, Série II de 2014-10-16;https://diariodarepublica.pt/dr/detalhe/despacho/12668-2014-58359506;https://files.diariodarepublica.pt/2s/2014/10/200000000/2626226263.pdf;despacho_12668-2014_dr_200-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 12614/2014 - Diário da República n.º 199/2014, Série II de 2014-10-15;https://diariodarepublica.pt/dr/detalhe/despacho/12614-2014-58325322;https://files.diariodarepublica.pt/2s/2014/10/199000000/2618026180.pdf;despacho_12614-2014_dr_199-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 11186/2014 - Diário da República n.º 170/2014, Série II de 2014-09-04;https://diariodarepublica.pt/dr/detalhe/despacho/11186-2014-56402402;https://files.diariodarepublica.pt/2s/2014/09/170000000/2297222972.pdf;despacho_11186-2014_dr_170-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 11185/2014 - Diário da República n.º 170/2014, Série II de 2014-09-04;https://diariodarepublica.pt/dr/detalhe/despacho/11185-2014-56402401;https://files.diariodarepublica.pt/2s/2014/09/170000000/2297122971.pdf;despacho_11185-2014_dr_170-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 11024/2014 - Diário da República n.º 166/2014, Série II de 2014-08-29;https://diariodarepublica.pt/dr/detalhe/despacho/11024-2014-56383097;https://files.diariodarepublica.pt/2s/2014/08/166000000/2242922429.pdf;despacho_11024-2014_dr_166-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 10984/2014 - Diário da República n.º 165/2014, Série II de 2014-08-28;https://diariodarepublica.pt/dr/detalhe/despacho/10984-2014-56369481;https://files.diariodarepublica.pt/2s/2014/08/165000000/2235122351.pdf;despacho_10984-2014_dr_165-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 10983/2014 - Diário da República n.º 165/2014, Série II de 2014-08-28;https://diariodarepublica.pt/dr/detalhe/despacho/10983-2014-56369480;https://files.diariodarepublica.pt/2s/2014/08/165000000/2235122351.pdf;despacho_10983-2014_dr_165-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 10982/2014 - Diário da República n.º 165/2014, Série II de 2014-08-28;https://diariodarepublica.pt/dr/detalhe/despacho/10982-2014-56369479;https://files.diariodarepublica.pt/2s/2014/08/165000000/2235022351.pdf;despacho_10982-2014_dr_165-2014.pdf;2013-10-08
