search_range;description;link_page;link_pdf;name_pdf;published;date_save_pdf;pdf_ok
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2491/2024 - Diário da República n.º 49/2024, Série II de 2024-03-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2491-2024-854546320;https://files.diariodarepublica.pt/2s/2024/03/049000000/0002100022.pdf;despacho_2491-2024_dr_49-2024.pdf;2024-03-08;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2490/2024 - Diário da República n.º 49/2024, Série II de 2024-03-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2490-2024-854546319;https://files.diariodarepublica.pt/2s/2024/03/049000000/0001900020.pdf;despacho_2490-2024_dr_49-2024.pdf;2024-03-08;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2489/2024 - Diário da República n.º 49/2024, Série II de 2024-03-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2489-2024-854546318;https://files.diariodarepublica.pt/2s/2024/03/049000000/0001700018.pdf;despacho_2489-2024_dr_49-2024.pdf;2024-03-08;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2488/2024 - Diário da República n.º 49/2024, Série II de 2024-03-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2488-2024-854546317;https://files.diariodarepublica.pt/2s/2024/03/049000000/0001500016.pdf;despacho_2488-2024_dr_49-2024.pdf;2024-03-08;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2420/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2420-2024-854529547;https://files.diariodarepublica.pt/2s/2024/03/048000000/0004900050.pdf;despacho_2420-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2419/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2419-2024-854529546;https://files.diariodarepublica.pt/2s/2024/03/048000000/0004700048.pdf;despacho_2419-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2418/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2418-2024-854529545;https://files.diariodarepublica.pt/2s/2024/03/048000000/0004500046.pdf;despacho_2418-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2417/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2417-2024-854529544;https://files.diariodarepublica.pt/2s/2024/03/048000000/0004300044.pdf;despacho_2417-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2416/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2416-2024-854529543;https://files.diariodarepublica.pt/2s/2024/03/048000000/0004100042.pdf;despacho_2416-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2415/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2415-2024-854529542;https://files.diariodarepublica.pt/2s/2024/03/048000000/0003900040.pdf;despacho_2415-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2414/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2414-2024-854529541;https://files.diariodarepublica.pt/2s/2024/03/048000000/0003700038.pdf;despacho_2414-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2413/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2413-2024-854529540;https://files.diariodarepublica.pt/2s/2024/03/048000000/0003500036.pdf;despacho_2413-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:33;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2412/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2412-2024-854529539;https://files.diariodarepublica.pt/2s/2024/03/048000000/0003300034.pdf;despacho_2412-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:34;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2411/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2411-2024-854529538;https://files.diariodarepublica.pt/2s/2024/03/048000000/0003100032.pdf;despacho_2411-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:34;True
[2023-12-05]-[2024-03-08];Despacho (extrato) n.º 2410/2024 - Diário da República n.º 48/2024, Série II de 2024-03-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2410-2024-854529537;https://files.diariodarepublica.pt/2s/2024/03/048000000/0002900030.pdf;despacho_2410-2024_dr_48-2024.pdf;2024-03-07;08/03/2024 21:34;True
