description;link_page;link_pdf;name_pdf;date_save_pdf;pdf_ok
Despacho (extrato) n.º 8065/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8065-2023-216769598;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004300043.pdf;despacho_8065-2023_dr_152-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 7186/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7186-2023-215269478;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007200072.pdf;despacho_7186-2023_dr_130-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 6228/2023 - Diário da República n.º 109/2023, Série II de 2023-06-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6228-2023-214042077;https://files.diariodarepublica.pt/2s/2023/06/109000000/0002900029.pdf;despacho_6228-2023_dr_109-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 6227/2023 - Diário da República n.º 109/2023, Série II de 2023-06-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6227-2023-214042076;https://files.diariodarepublica.pt/2s/2023/06/109000000/0002800028.pdf;despacho_6227-2023_dr_109-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 6226/2023 - Diário da República n.º 109/2023, Série II de 2023-06-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6226-2023-214042075;https://files.diariodarepublica.pt/2s/2023/06/109000000/0002700027.pdf;despacho_6226-2023_dr_109-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 6225/2023 - Diário da República n.º 109/2023, Série II de 2023-06-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6225-2023-213968674;https://files.diariodarepublica.pt/2s/2023/06/109000000/0002600026.pdf;despacho_6225-2023_dr_109-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8726/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8726-2023-221029289;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004600046.pdf;despacho_8726-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8725/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8725-2023-221029288;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004500045.pdf;despacho_8725-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8724/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8724-2023-221029287;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004400044.pdf;despacho_8724-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8723/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8723-2023-221029286;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004300043.pdf;despacho_8723-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8722/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8722-2023-221029285;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004200042.pdf;despacho_8722-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8721/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8721-2023-221029284;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004100041.pdf;despacho_8721-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8720/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8720-2023-221029283;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004000040.pdf;despacho_8720-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8719/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8719-2023-221029282;https://files.diariodarepublica.pt/2s/2023/08/167000000/0003900039.pdf;despacho_8719-2023_dr_167-2023.pdf;01/11/2023 00:07;True
